dataset,split_type,mAP50_95,experiment,train_datasets
# 20240625_mc38_10x_caged_4_class,test_ds,0.509,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20240703_neuron-adhered_10x_caged_4_class,test_ds,0.044,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20240704_neuron-adhered_10x_caged_4_class,test_ds,0.058,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20240905_u87-adhered_10x_caged_4_class,test_ds,0.511,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,0.763,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,0.073,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20250108_neuron-adhered_10x_uncaged_4_class,test_ds,0.034,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,0.128,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20250305_neuron-adhered_10x_uncaged_4_class,test_ds,0.054,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,0.44,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20250917_moc22-adhered_10x_caged_4_class,test_ds,0.244,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,0.454,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 231212_imr90_multichannel_overlay_4_class,test_ds,0.63,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 240213_imr90_multichannel_overlay_4_class,test_ds,0.402,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240703_neuron-adhered_10x_caged_4_class,train_ds,0.632,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20250917_moc22-adhered_10x_caged_4_class,train_ds,0.631,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240509_hela-adhered_10x_caged_4_class,train_ds,0.693,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
240213_imr90_multichannel_overlay_4_class,train_ds,0.783,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20241212_preadipocytes-adhered_10x_uncaged_4_class,train_ds,0.438,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240515_DC-adhered_10x_caged_4_class,train_ds,0.699,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,0.82,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,0.27,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,0.548,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240509_hela-adhered_10x_caged_4_class,test_ds,0.693,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240515_DC-adhered_10x_caged_4_class,test_ds,0.699,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240516_DC-adhered_10x_caged_4_class,test_ds,0.694,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
