,20240422_neuron-adhered_10x_uncaged,20240509_Hs675Tfibroblasts_10x_caged,20240509_hela-adhered_10x_caged,20240515_DC-adhered_10x_caged,20240516_DC-adhered_10x_caged,20240624_mc38_10x_caged,20240624_mc38_10x_uncaged,20240625_mc38_10x_caged,20240703_neuron-adhered_10x_caged,20240704_neuron-adhered_10x_caged,20240905_u87-adhered_10x_caged,20240924_enteric-glia-adhered_10x_uncaged,20241212_preadipocytes-adhered_10x_uncaged,20250108_neuron-adhered_10x_uncaged,20250227_preadipocytes-adhered_10x_caged,20250305_neuron-adhered_10x_uncaged,20250820_c8d1a_astrocytes-adherent_10x_caged,20250917_moc22-adhered_10x_caged,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x,231212_imr90_multichannel_overlay,240213_imr90_multichannel_overlay
20240905_u87-adhered_10x_caged,0.9901,0.7925,0.6638,0.7865,0.6263000000000001,0.8936999999999999,0.5786,0.5800000000000001,0.97,0.9764,0.0,0.651,0.8447,0.9866,0.8776,0.9701,0.5841000000000001,0.792,0.5869,0.8527,0.8220000000000001
20240924_enteric-glia-adhered_10x_uncaged,0.9964,0.958,0.9328,0.9669,0.9387,0.9819,0.9138,0.9083,0.9882,0.9902,0.8461,0.0,0.9707,0.9981,0.9811,0.9915,0.9116,0.9683,0.9032,0.9776,0.9765
20241212_preadipocytes-adhered_10x_uncaged,0.9973528812869069,0.8293626552636937,0.8564447159437997,0.9277132966809204,0.9097943392384443,0.9448177560578294,0.8743636733862757,0.7965791081246182,0.996334758704948,0.996334758704948,0.7348808796579108,0.8613317043372022,0.0,0.9959275096721645,0.6568926898798615,0.9938912645082468,0.751781714518428,0.9552026063938098,0.9189574424760741,0.8456526165750357,0.9250661779678273
20250108_neuron-adhered_10x_uncaged,0.2179327521793275,0.9788293897882939,0.9265255292652553,0.8069738480697385,0.7808219178082192,0.8742216687422166,0.7447073474470735,0.9452054794520548,0.21295143212951428,0.23163138231631386,0.9202988792029888,0.9551681195516812,0.9912826899128269,0.0,0.9863013698630136,0.04234122042341215,0.8468244084682441,0.8679950186799502,0.7185554171855542,0.9863013698630136,0.9738480697384807
20250227_preadipocytes-adhered_10x_caged,0.9956769502849283,0.6732167419925329,0.8883867164472391,0.9296521910001965,0.9050894085281981,0.937708783651012,0.8699155040282963,0.781882491648654,0.9944979367262724,0.9950874435056003,0.7767734328944783,0.8879937119276872,0.6555315386126941,0.9931224209078404,0.0,0.9805462762821773,0.7893495775201415,0.9461583808213795,0.8712910198467283,0.6629986244841816,0.9151110237767734
20250305_neuron-adhered_10x_uncaged,0.8377256317689531,0.9936823104693141,0.9792418772563177,0.9707581227436823,0.9425992779783393,0.983754512635379,0.9646209386281588,0.9902527075812274,0.8646209386281588,0.8624548736462094,0.9848375451263538,0.9850180505415163,0.998014440433213,0.8256317689530686,0.997653429602888,0.0,0.9783393501805054,0.9812274368231046,0.9413357400722022,0.9978339350180505,0.9972924187725631
20250820_c8d1a_astrocytes-adherent_10x_caged,0.9847689075630253,0.6825980392156863,0.5379901960784313,0.5343137254901961,0.4115896358543417,0.8184523809523809,0.4819677871148459,0.5001750700280112,0.9427521008403361,0.9565826330532213,0.37780112044817926,0.5936624649859944,0.7352941176470589,0.9817927170868347,0.8506652661064426,0.946953781512605,0.0,0.6530112044817927,0.48459383753501406,0.7766106442577031,0.7624299719887955
20250917_moc22-adhered_10x_caged,0.9953,0.958,0.8462000000000001,0.8817,0.7549,0.9585,0.8262,0.9342,0.9751,0.9815,0.8264,0.9395,0.9767,0.9918,0.9697,0.9786,0.8203,0.0,0.6236999999999999,0.9415,0.9324
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x,0.9804,0.9069,0.7236,0.8161,0.6799999999999999,0.9142,0.615,0.837,0.9264,0.9359999999999999,0.6456,0.7901,0.9547,0.9715,0.9351,0.9308,0.7208,0.5822,0.0,0.9125,0.9127
231212_imr90_multichannel_overlay,0.9867549668874173,0.17632450331125826,0.5956125827814569,0.8228476821192053,0.7177152317880795,0.8240894039735099,0.5376655629139073,0.41721854304635764,0.9797185430463576,0.9838576158940397,0.36506622516556286,0.6254139072847682,0.5596026490066226,0.9859271523178808,0.38700331125827814,0.9557119205298014,0.42218543046357615,0.7495860927152318,0.5902317880794702,0.0,0.4068708609271523
240213_imr90_multichannel_overlay,0.986901350798199,0.3986901350798199,0.5055259926320098,0.7597216537044618,0.553417928776095,0.7523536635284487,0.3933688088415882,0.2975849365534179,0.9586573884568154,0.963978714695047,0.13876381498157997,0.5550552599263201,0.6815390912812116,0.9799426934097422,0.747032337290217,0.9549733933688088,0.3209169054441261,0.6017191977077364,0.45272206303724927,0.24846500204666389,0.0
