Model,Dataset,Class,mAP@50,mAP@50-95,TP,FP,FN,Precision,Recall,F1
rf_detr_seg,20240905_u87-adhered_10x_caged_4_class,cell-adhered,0.9224666036269776,0.7317641607498333,7623.0,2883.0,341.0,0.7255853797829811,0.9571823204419889,0.8254466702761234
rf_detr_seg,20240905_u87-adhered_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240905_u87-adhered_10x_caged_4_class,all,0.8029108326123707,0.6375996002204201,,,,,,
yolov26,20240905_u87-adhered_10x_caged_4_class,cell,0.7259379090000271,0.5777544531466745,2094.0,772.0,548.0,0.7306350314026517,0.7925813777441333,0.7603485838779956
yolov26,20240905_u87-adhered_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240905_u87-adhered_10x_caged_4_class,cell-adhered,0.8798837562247145,0.6974447472941657,7258.0,1338.0,706.0,0.84434620753839,0.9113510798593671,0.8765700483091787
yolov26,20240905_u87-adhered_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240905_u87-adhered_10x_caged_4_class,all,0.8098362249669699,0.6263301977371809,,,,,,
yolo,20240905_u87-adhered_10x_caged_4_class,cell,0.7301627218123717,0.5589762146791014,2101.0,853.0,541.0,0.7112389979688558,0.7952308856926571,0.7508934953538241
yolo,20240905_u87-adhered_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240905_u87-adhered_10x_caged_4_class,cell-adhered,0.889509728121568,0.6936841807952603,7380.0,1667.0,584.0,0.8157400243174533,0.9266700150678051,0.867673858091823
yolo,20240905_u87-adhered_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240515_DC-adhered_10x_caged_4_class,all,0.9005574765188065,0.6628842693241614,,,,,,
rf_detr_seg,20240515_DC-adhered_10x_caged_4_class,cell,0.938967406953881,0.6901904227614823,7885.0,3191.0,235.0,0.7118996027446731,0.9710591133004927,0.8215253177745364
rf_detr_seg,20240515_DC-adhered_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240515_DC-adhered_10x_caged_4_class,cell-adhered,0.8621475460837317,0.6355781158868404,4202.0,2931.0,215.0,0.5890929482686107,0.9513244283450306,0.7276190476190476
rf_detr_seg,20240515_DC-adhered_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240515_DC-adhered_10x_caged_4_class,all,0.8348234972075003,0.6306139508609383,,,,,,
yolov26,20240515_DC-adhered_10x_caged_4_class,cell,0.8862031063081386,0.6730395201816466,7443.0,1674.0,677.0,0.8163869693978283,0.9166256157635468,0.8636073562684923
yolov26,20240515_DC-adhered_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240515_DC-adhered_10x_caged_4_class,cell-adhered,0.783443888106862,0.58818838154023,3771.0,1355.0,646.0,0.7356613343737807,0.8537468870273942,0.7903175102169129
yolov26,20240515_DC-adhered_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240515_DC-adhered_10x_caged_4_class,all,0.840249851753099,0.6245045815724026,,,,,,
yolo,20240515_DC-adhered_10x_caged_4_class,cell,0.8807410320719652,0.6559952714434775,7319.0,1417.0,801.0,0.8377976190476191,0.9013546798029557,0.8684148077835786
yolo,20240515_DC-adhered_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240515_DC-adhered_10x_caged_4_class,cell-adhered,0.7997586714342326,0.5930138917013277,3863.0,1560.0,554.0,0.7123363451963858,0.8745755037355671,0.7851626016260163
yolo,20240515_DC-adhered_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240314_imr90-suspension_10x_caged_4_class,all,0.9302787450754119,0.7292368820792724,,,,,,
