dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,soma,0.885,0.95,0.916,0.902,0.616
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.857,0.895,0.875,0.858,0.554
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.856,0.85,0.853,0.857,0.512
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,soma,0.858,0.94,0.897,0.858,0.597
20240509_hela-adhered_10x_caged_4_class,test_ds,BBOX,all,0.852,0.86,0.856,0.902,0.7
20240509_hela-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.815,0.82,0.818,0.856,0.633
20240509_hela-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.89,0.9,0.895,0.948,0.768
20240509_hela-adhered_10x_caged_4_class,test_ds,SEGM,all,0.857,0.865,0.861,0.905,0.691
20240509_hela-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.817,0.82,0.819,0.857,0.642
20240509_hela-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.897,0.91,0.904,0.953,0.74
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,BBOX,all,0.931,0.905,0.918,0.962,0.768
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,BBOX,cell,0.948,0.9,0.923,0.97,0.778
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.914,0.91,0.912,0.955,0.759
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,SEGM,all,0.937,0.915,0.926,0.968,0.705
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,SEGM,cell,0.949,0.9,0.924,0.971,0.781
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.926,0.93,0.928,0.965,0.629
20240515_DC-adhered_10x_caged_4_class,test_ds,BBOX,all,0.835,0.86,0.847,0.916,0.707
20240515_DC-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.882,0.89,0.886,0.951,0.746
20240515_DC-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.788,0.83,0.808,0.882,0.668
20240515_DC-adhered_10x_caged_4_class,test_ds,SEGM,all,0.84,0.86,0.85,0.919,0.697
20240515_DC-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.884,0.89,0.887,0.952,0.75
20240515_DC-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.795,0.83,0.812,0.886,0.644
20240516_DC-adhered_10x_caged_4_class,test_ds,BBOX,all,0.851,0.875,0.863,0.93,0.721
20240516_DC-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.83,0.87,0.85,0.919,0.716
20240516_DC-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.872,0.88,0.876,0.942,0.726
20240516_DC-adhered_10x_caged_4_class,test_ds,SEGM,all,0.855,0.875,0.865,0.932,0.715
20240516_DC-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.833,0.87,0.851,0.92,0.719
20240516_DC-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.876,0.88,0.878,0.944,0.711
20240624_mc38_10x_caged_4_class,test_ds,BBOX,all,0.86,0.825,0.842,0.885,0.662
20240624_mc38_10x_caged_4_class,test_ds,BBOX,cell,0.959,0.95,0.955,0.98,0.774
20240624_mc38_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.76,0.7,0.729,0.791,0.551
20240624_mc38_10x_caged_4_class,test_ds,SEGM,all,0.859,0.82,0.839,0.88,0.651
20240624_mc38_10x_caged_4_class,test_ds,SEGM,cell,0.957,0.94,0.948,0.968,0.762
20240624_mc38_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.76,0.7,0.729,0.792,0.54
20240624_mc38_10x_uncaged_4_class,test_ds,BBOX,all,0.886,0.895,0.89,0.939,0.728
20240624_mc38_10x_uncaged_4_class,test_ds,BBOX,cell,0.936,0.93,0.933,0.976,0.791
20240624_mc38_10x_uncaged_4_class,test_ds,BBOX,cell-adhered,0.835,0.86,0.847,0.902,0.665
20240624_mc38_10x_uncaged_4_class,test_ds,SEGM,all,0.89,0.9,0.895,0.944,0.726
20240624_mc38_10x_uncaged_4_class,test_ds,SEGM,cell,0.937,0.93,0.933,0.976,0.788
20240624_mc38_10x_uncaged_4_class,test_ds,SEGM,cell-adhered,0.843,0.87,0.856,0.911,0.665
20240625_mc38_10x_caged_4_class,test_ds,BBOX,all,0.844,0.835,0.84,0.903,0.689
20240625_mc38_10x_caged_4_class,test_ds,BBOX,cell,0.836,0.83,0.833,0.906,0.702
20240625_mc38_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.853,0.84,0.846,0.899,0.677
20240625_mc38_10x_caged_4_class,test_ds,SEGM,all,0.863,0.865,0.864,0.926,0.696
20240625_mc38_10x_caged_4_class,test_ds,SEGM,cell,0.835,0.84,0.838,0.91,0.714
20240625_mc38_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.892,0.89,0.891,0.942,0.678
20240703_neuron-adhered_10x_caged_4_class,test_ds,BBOX,all,0.905,0.87,0.887,0.935,0.647
20240703_neuron-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.896,0.89,0.893,0.942,0.642
20240703_neuron-adhered_10x_caged_4_class,test_ds,BBOX,soma,0.914,0.85,0.881,0.929,0.652
20240703_neuron-adhered_10x_caged_4_class,test_ds,SEGM,all,0.914,0.86,0.886,0.933,0.637
20240703_neuron-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.897,0.88,0.889,0.935,0.616
20240703_neuron-adhered_10x_caged_4_class,test_ds,SEGM,soma,0.931,0.84,0.883,0.931,0.659
20240704_neuron-adhered_10x_caged_4_class,test_ds,BBOX,all,0.905,0.885,0.895,0.927,0.647
20240704_neuron-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.899,0.88,0.889,0.924,0.626
20240704_neuron-adhered_10x_caged_4_class,test_ds,BBOX,soma,0.912,0.89,0.901,0.931,0.667
20240704_neuron-adhered_10x_caged_4_class,test_ds,SEGM,all,0.906,0.88,0.893,0.922,0.633
20240704_neuron-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.895,0.88,0.887,0.922,0.601
20240704_neuron-adhered_10x_caged_4_class,test_ds,SEGM,soma,0.918,0.88,0.899,0.923,0.665
20240905_u87-adhered_10x_caged_4_class,test_ds,BBOX,all,0.841,0.85,0.845,0.899,0.73
20240905_u87-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.774,0.8,0.787,0.849,0.679
20240905_u87-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.908,0.9,0.904,0.95,0.78
20240905_u87-adhered_10x_caged_4_class,test_ds,SEGM,all,0.85,0.86,0.855,0.905,0.687
20240905_u87-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.777,0.8,0.788,0.851,0.676
20240905_u87-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.923,0.92,0.921,0.96,0.698
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.91,0.91,0.91,0.96,0.83
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.876,0.89,0.883,0.947,0.808
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,BBOX,cell-adhered,0.943,0.93,0.937,0.973,0.853
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.926,0.91,0.918,0.964,0.813
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.894,0.88,0.887,0.948,0.804
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,SEGM,cell-adhered,0.957,0.94,0.949,0.98,0.822
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.645,0.645,0.644,0.659,0.449
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.474,0.53,0.5,0.478,0.336
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,BBOX,cell-adhered,0.817,0.76,0.788,0.84,0.562
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.68,0.675,0.676,0.692,0.458
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.474,0.53,0.5,0.477,0.323
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,SEGM,cell-adhered,0.886,0.82,0.852,0.907,0.592
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.836,0.79,0.812,0.857,0.623
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.744,0.67,0.705,0.751,0.517
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,soma,0.928,0.91,0.919,0.963,0.73
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.837,0.79,0.812,0.858,0.615
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.743,0.67,0.705,0.75,0.492
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,soma,0.93,0.91,0.92,0.965,0.739
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,BBOX,all,0.697,0.71,0.702,0.723,0.491
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.568,0.65,0.606,0.593,0.404
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.826,0.77,0.797,0.853,0.578
