dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
20240703_neuron-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.359,0.33,0.344,0.175,0.049
20240703_neuron-adhered_10x_caged_4_class,test_ds,SEGM,soma,0.0,0.0,0.0,0.0,0.0
20240704_neuron-adhered_10x_caged_4_class,test_ds,BBOX,all,0.232,0.265,0.247,0.171,0.058
20240704_neuron-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.464,0.53,0.495,0.342,0.117
20240704_neuron-adhered_10x_caged_4_class,test_ds,BBOX,soma,0.0,0.0,0.0,0.0,0.0
20240704_neuron-adhered_10x_caged_4_class,test_ds,SEGM,all,0.187,0.195,0.191,0.106,0.033
20240704_neuron-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.373,0.39,0.381,0.212,0.066
20240704_neuron-adhered_10x_caged_4_class,test_ds,SEGM,soma,0.0,0.0,0.0,0.0,0.0
20240905_u87-adhered_10x_caged_4_class,test_ds,BBOX,all,0.756,0.725,0.74,0.781,0.511
20240905_u87-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.696,0.71,0.703,0.741,0.463
20240905_u87-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.817,0.74,0.776,0.82,0.56
20240905_u87-adhered_10x_caged_4_class,test_ds,SEGM,all,0.769,0.74,0.754,0.797,0.475
20240905_u87-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.698,0.71,0.704,0.744,0.47
20240905_u87-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.84,0.77,0.803,0.85,0.479
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.887,0.885,0.886,0.939,0.763
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.862,0.87,0.866,0.925,0.744
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,BBOX,cell-adhered,0.913,0.9,0.906,0.952,0.782
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.899,0.895,0.897,0.948,0.769
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.861,0.88,0.871,0.931,0.761
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,SEGM,cell-adhered,0.936,0.91,0.923,0.966,0.776
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.267,0.305,0.282,0.169,0.073
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.182,0.27,0.218,0.096,0.049
