dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
231212_imr90_multichannel_overlay_4_class,test_ds,BBOX,all,0.934,0.915,0.924,0.959,0.799
231212_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell,0.92,0.89,0.905,0.948,0.74
231212_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell-adhered,0.948,0.94,0.944,0.969,0.858
231212_imr90_multichannel_overlay_4_class,test_ds,SEGM,all,0.937,0.92,0.928,0.96,0.778
231212_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell,0.913,0.89,0.902,0.946,0.723
231212_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell-adhered,0.961,0.95,0.955,0.974,0.832
240213_imr90_multichannel_overlay_4_class,test_ds,BBOX,all,0.832,0.85,0.838,0.892,0.611
240213_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell,0.735,0.86,0.793,0.861,0.464
240213_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell-adhered,0.929,0.84,0.882,0.923,0.757
240213_imr90_multichannel_overlay_4_class,test_ds,SEGM,all,0.866,0.845,0.854,0.905,0.549
240213_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell,0.781,0.82,0.8,0.866,0.423
240213_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell-adhered,0.951,0.87,0.909,0.945,0.674
