dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.801,0.78,0.791,0.872,0.647
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,BBOX,cell-adhered,0.83,0.78,0.804,0.841,0.677
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.828,0.785,0.806,0.872,0.585
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.805,0.78,0.793,0.876,0.643
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,SEGM,cell-adhered,0.85,0.79,0.819,0.867,0.528
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.526,0.585,0.547,0.545,0.336
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.304,0.46,0.366,0.323,0.194
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,BBOX,cell-adhered,0.748,0.71,0.728,0.768,0.479
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.572,0.63,0.593,0.598,0.355
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.305,0.46,0.366,0.323,0.193
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,SEGM,cell-adhered,0.84,0.8,0.82,0.872,0.517
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.688,0.665,0.673,0.689,0.435
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.537,0.61,0.571,0.551,0.315
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,soma,0.839,0.72,0.775,0.826,0.556
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.688,0.665,0.673,0.688,0.451
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.531,0.61,0.568,0.548,0.323
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,soma,0.845,0.72,0.777,0.829,0.58
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,BBOX,all,0.687,0.71,0.695,0.712,0.474
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.544,0.65,0.593,0.57,0.373
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.829,0.77,0.798,0.853,0.574
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,SEGM,all,0.715,0.74,0.724,0.74,0.496
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.541,0.65,0.59,0.568,0.378
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.889,0.83,0.858,0.911,0.613
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.903,0.865,0.883,0.915,0.448
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.881,0.84,0.86,0.893,0.387
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,soma,0.924,0.89,0.907,0.937,0.509
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.909,0.86,0.884,0.914,0.459
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.88,0.83,0.854,0.886,0.404
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,soma,0.938,0.89,0.913,0.942,0.513
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,BBOX,all,0.584,0.66,0.615,0.6,0.392
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,BBOX,cell,0.384,0.54,0.449,0.356,0.279
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.783,0.78,0.782,0.844,0.505
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,SEGM,all,0.604,0.675,0.633,0.628,0.435
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,SEGM,cell,0.384,0.54,0.449,0.356,0.284
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.823,0.81,0.817,0.9,0.586
20250917_moc22-adhered_10x_caged_4_class,test_ds,BBOX,all,0.476,0.615,0.527,0.5,0.348
20250917_moc22-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.291,0.54,0.378,0.293,0.205
20250917_moc22-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.662,0.69,0.676,0.708,0.49
20250917_moc22-adhered_10x_caged_4_class,test_ds,SEGM,all,0.484,0.615,0.531,0.508,0.344
20250917_moc22-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.292,0.54,0.379,0.295,0.204
20250917_moc22-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.677,0.69,0.683,0.721,0.484
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,BBOX,all,0.68,0.78,0.721,0.759,0.538
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,BBOX,cell,0.556,0.78,0.649,0.677,0.48
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,BBOX,cell-adhered,0.805,0.78,0.792,0.841,0.595
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,SEGM,all,0.694,0.775,0.725,0.765,0.534
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,SEGM,cell,0.556,0.78,0.649,0.677,0.483
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,SEGM,cell-adhered,0.832,0.77,0.8,0.853,0.584
231212_imr90_multichannel_overlay_4_class,test_ds,BBOX,all,0.944,0.91,0.927,0.955,0.803
231212_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell,0.933,0.89,0.911,0.943,0.748
231212_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell-adhered,0.956,0.93,0.943,0.966,0.859
231212_imr90_multichannel_overlay_4_class,test_ds,SEGM,all,0.95,0.91,0.929,0.957,0.78
231212_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell,0.936,0.88,0.907,0.942,0.73
231212_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell-adhered,0.963,0.94,0.952,0.972,0.829
240213_imr90_multichannel_overlay_4_class,test_ds,BBOX,all,0.817,0.83,0.821,0.865,0.607
240213_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell,0.711,0.82,0.762,0.814,0.455
240213_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell-adhered,0.923,0.84,0.88,0.916,0.759
240213_imr90_multichannel_overlay_4_class,test_ds,SEGM,all,0.826,0.84,0.83,0.875,0.552
240213_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell,0.711,0.82,0.762,0.815,0.43
240213_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell-adhered,0.941,0.86,0.899,0.936,0.674
